file_name,word,target_sound,label,feedback
basket-1.wav,basket,s,clear,Your pronunciation of 'basket' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
basket-2.wav,basket,s,clear,Your pronunciation of 'basket' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
basket-3.wav,basket,s,clear,Your pronunciation of 'basket' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
basket-4.wav,basket,s,clear,Your pronunciation of 'basket' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
basket-5.wav,basket,s,clear,Your pronunciation of 'basket' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
bus-1.wav,bus,s,clear,Your pronunciation of 'bus' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
bus-2.wav,bus,s,clear,Your pronunciation of 'bus' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
bus-3.wav,bus,s,clear,Your pronunciation of 'bus' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
bus-4.wav,bus,s,clear,Your pronunciation of 'bus' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
bus-5.wav,bus,s,clear,Your pronunciation of 'bus' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
buzz-1.wav,buzz,z,unclear,"Your pronunciation of 'buzz' may need more practice for the /z/ sound. Try saying the word slowly, focusing on steady airflow and a clean /z/ sound. This is non-clinical practice feedback, not a diagnosis."
buzz-2.wav,buzz,z,unclear,"Your pronunciation of 'buzz' may need more practice for the /z/ sound. Try saying the word slowly, focusing on steady airflow and a clean /z/ sound. This is non-clinical practice feedback, not a diagnosis."
buzz-3.wav,buzz,z,clear,Your pronunciation of 'buzz' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
buzz-4.wav,buzz,z,unclear,"Your pronunciation of 'buzz' may need more practice for the /z/ sound. Try saying the word slowly, focusing on steady airflow and a clean /z/ sound. This is non-clinical practice feedback, not a diagnosis."
buzz-5.wav,buzz,z,clear,Your pronunciation of 'buzz' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
cheese-1.wav,cheese,z,unclear,"Your pronunciation of 'cheese' may need more practice for the /z/ sound. Try saying the word slowly, focusing on steady airflow and a clean /z/ sound. This is non-clinical practice feedback, not a diagnosis."
cheese-2.wav,cheese,z,clear,Your pronunciation of 'cheese' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
cheese-3.wav,cheese,z,clear,Your pronunciation of 'cheese' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
cheese-4.wav,cheese,z,clear,Your pronunciation of 'cheese' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
cheese-5.wav,cheese,z,clear,Your pronunciation of 'cheese' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
class-1.wav,class,s,clear,Your pronunciation of 'class' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
class-2.wav,class,s,clear,Your pronunciation of 'class' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
class-3.wav,class,s,clear,Your pronunciation of 'class' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
class-4.wav,class,s,clear,Your pronunciation of 'class' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
class-5.wav,class,s,clear,Your pronunciation of 'class' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
lazy-1.wav,lazy,z,clear,Your pronunciation of 'lazy' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
lazy-2.wav,lazy,z,clear,Your pronunciation of 'lazy' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
lazy-3.wav,lazy,z,clear,Your pronunciation of 'lazy' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
lazy-4.wav,lazy,z,clear,Your pronunciation of 'lazy' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
lazy-5.wav,lazy,z,unclear,"Your pronunciation of 'lazy' may need more practice for the /z/ sound. Try saying the word slowly, focusing on steady airflow and a clean /z/ sound. This is non-clinical practice feedback, not a diagnosis."
music-1.wav,music,z,unclear,"Your pronunciation of 'music' may need more practice for the /z/ sound. Try saying the word slowly, focusing on steady airflow and a clean /z/ sound. This is non-clinical practice feedback, not a diagnosis."
music-2.wav,music,z,clear,Your pronunciation of 'music' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
music-3.wav,music,z,clear,Your pronunciation of 'music' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
music-4.wav,music,z,clear,Your pronunciation of 'music' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
music-5.wav,music,z,clear,Your pronunciation of 'music' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
pencil-1.wav,pencil,s,clear,Your pronunciation of 'pencil' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
pencil-2.wav,pencil,s,clear,Your pronunciation of 'pencil' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
pencil-3.wav,pencil,s,clear,Your pronunciation of 'pencil' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
pencil-4.wav,pencil,s,clear,Your pronunciation of 'pencil' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
pencil-5.wav,pencil,s,clear,Your pronunciation of 'pencil' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
puzzle-1.wav,puzzle,z,clear,Your pronunciation of 'puzzle' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
puzzle-2.wav,puzzle,z,clear,Your pronunciation of 'puzzle' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
puzzle-3.wav,puzzle,z,clear,Your pronunciation of 'puzzle' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
puzzle-4.wav,puzzle,z,clear,Your pronunciation of 'puzzle' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
puzzle-5.wav,puzzle,z,clear,Your pronunciation of 'puzzle' sounded clear for the /z/ sound. Keep practicing it slowly and try to make each repetition consistent.
racing-1.wav,racing,s,clear,Your pronunciation of 'racing' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
racing-2.wav,racing,s,clear,Your pronunciation of 'racing' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
racing-3.wav,racing,s,clear,Your pronunciation of 'racing' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
racing-4.wav,racing,s,clear,Your pronunciation of 'racing' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
racing-5.wav,racing,s,clear,Your pronunciation of 'racing' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
science-1.wav,science,s,clear,Your pronunciation of 'science' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
science-2.wav,science,s,clear,Your pronunciation of 'science' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
science-3.wav,science,s,clear,Your pronunciation of 'science' sounded clear for the /s/ sound. Keep practicing it slowly and try to make each repetition consistent.
